연도,월,수술용마스크(6307904010)수출,수술용마스크(6307904010)수입,보건용마스크(6307904020)수출,보건용마스크(6307904020)수입,비말차단용마스크(6307904030)수출,비말차단용마스크(6307904030)수입,기타안면마스크(6307904090)수출,기타안면마스크(6307904090)수입
2021,01,45,376,6724,845,396,211,7122,2143
2021,02,14,221,7719,107,567,282,7247,2109
2021,03,13,228,7172,36,465,318,8340,2905
2021,04,57,841,4265,7,636,598,8858,2844
2021,05,103,121,4830,113,373,440,6618,3179
2021,06,78,364,5150,68,307,626,6621,3187
2021,07,38,146,8091,44,3574,467,5439,3054
2021,08,8,340,10906,332,1015,442,4949,2801
2021,09,88,131,7638,64,1372,287,4474,2187
2021,10,63,298,6460,177,1483,217,5322,2285
2021,11,1061,126,6273,467,2658,187,4159,3942
2021,12,1050,299,9633,36,780,352,4490,3437
2022,01,543,325,14534,78,2341,311,5836,2357
2022,02,59,458,18051,248,4181,81,5255,1461
2022,03,107,403,16306,365,569,248,4558,2625
2022,04,4,657,7127,184,145,163,3001,2964
2022,05,21,285,11401,202,96,284,2217,3809
2022,06,19,508,5810,137,98,502,2418,2330
2022,07,3,162,5742,260,274,599,2072,2794
2022,08,16,185,9069,61,146,530,2130,2796
2022,09,13,49,5702,143,414,751,1660,1553
2022,10,8,86,2429,111,115,791,857,924
2022,11,53,274,2382,214,110,1088,1029,1258
2022,12,4,119,12596,375,911,534,2890,2446
2023,01,3,673,3861,349,123,299,2105,1455
2023,02,0,151,2481,130,28,357,2023,1258
2023,03,0,759,998,203,269,425,1384,2014
2023,04,0,257,508,254,457,277,1112,1274
2023,05,2,88,624,2,421,205,754,1382
2023,06,0,136,703,72,283,245,1169,1584
2023,07,0,78,1531,59,116,152,875,1057
2023,08,0,262,411,235,68,125,1811,1075
2023,09,0,331,720,138,243,164,773,856
2023,10,3,88,697,56,225,172,481,796
2023,11,0,305,1558,91,132,169,1036,1401
2023,12,0,363,1150,227,223,254,1059,1689
2024,01,0,414,690,198,177,270,1540,1397
2024,02,0,188,432,101,274,172,1195,928
2024,03,0,218,774,22,204,91,1453,892
2024,04,0,93,605,100,438,243,1880,1453
2024,05,0,52,227,90,342,292,1327,1468
2024,06,0,100,474,11,525,171,1751,1081
2024,07,0,176,290,2,238,97,1839,1046
2024,08,0,158,374,2,353,271,1702,858
2024,09,4,381,389,113,219,213,1397,991
2024,10,0,110,670,105,307,200,1001,1233
2024,11,0,193,245,102,115,157,1605,1219
2024,12,0,302,652,116,327,189,1317,1621
2025,01,0,186,1372,210,166,389,1619,1284
2025,02,0,114,624,33,263,69,1387,959
2025,03,53,109,612,158,518,299,1480,1415
2025,04,0,155,123,202,551,126,1403,1569
2025,05,0,115,202,115,337,136,1426,1620
2025,06,5,155,177,94,468,197,1278,1273
2025,07,3,172,196,17,391,160,1307,1215
2025,08,0,159,94,23,51,85,1419,797
2025,09,0,227,130,9,62,80,1361,1057
2025,10,0,177,142,37,243,136,1466,976
2025,11,0,298,206,60,112,239,1330,1226
2025,12,0,199,387,221,257,187,1418,1676
