"기준년월","HSK품목코드","수출입구분코드","수산물수출입품목명","HSK품목대분류","HSK품목중분류","HSK품목소분류","수출입구분명","당월수출입중량(킬로그램)","당월수출입미화금액(달러)","당해누계수출입중량(킬로그램)","당해누계수출입미화금액(달러)","데이터기준일자"
"2025-10","0106199000","E","기타 포유동물","0106","19","9000","수출","386","25982","2892","173846","2025-10-31"
"2025-10","0106201000","E","뱀","0106","20","1000","수출","41","26930","214","128000","2025-10-31"
"2025-10","0106203000","E","거북","0106","20","3000","수출","11","4322","165","32643","2025-10-31"
"2025-10","0106209000","E","기타 파충류","0106","20","9000","수출","140","163039","1275","1350855","2025-10-31"
"2025-10","0210999090","E","기타 육·설육","0210","99","9090","수출","0","0","16","19","2025-10-31"
"2025-10","0301119000","E","기타(활어)(비단잉어 외  민물의 것)","0301","11","9000","수출","0","0","83","19030","2025-10-31"
"2025-10","0301190000","E","기타(활어)(민물의 것)","0301","19","0000","수출","0","0","190","14191","2025-10-31"
"2025-10","0301921000","E","실뱀장어(한마리당 0.3그램 이하인 것으로서 양식용으로 한정)","0301","92","1000","수출","0","0","401","793556","2025-10-31"
"2025-10","0301929090","E","뱀장어(앵궐라종)","0301","92","9090","수출","0","0","2","165","2025-10-31"
"2025-10","0301992000","E","방어(활어)","0301","99","2000","수출","0","0","227","4111","2025-10-31"
"2025-10","0301994099","E","돔(기타 기타)","0301","99","4099","수출","0","0","10","251","2025-10-31"
"2025-10","0301995000","E","붕장어(활어)","0301","99","5000","수출","131627","1410433","1237268","12850506","2025-10-31"
"2025-10","0301996000","E","갯장어(sharp toothed eel/활어)","0301","99","6000","수출","1989","34516","31461","604508","2025-10-31"
"2025-10","0301998000","E","넙치(활어)","0301","99","8000","수출","222918","3890464","1885548","33934242","2025-10-31"
"2025-10","0301999020","E","복어(활어)","0301","99","9020","수출","0","0","2817","32640","2025-10-31"
"2025-10","0301999040","E","볼락(적어포함/활어)","0301","99","9040","수출","1009","26691","11937","335337","2025-10-31"
"2025-10","0301999060","E","숭어(활어)","0301","99","9060","수출","1930","45571","5870","139843","2025-10-31"
